"severity","timestamp","ip_address","admin_user","page_accessed","parameters","flagged","attention","logmessage","postdata"
"warning","2018-05-09 14:53:02","122.111.2.163","13 Admin","Log reset by {Admin[13]}.","","0","","Log reset by {Admin[13]}.",""
"info","2018-05-09 14:53:02","122.111.2.163","13 Admin","admin_activity.php","","0","","Accessed page [admin_activity.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 14:53:10","122.111.2.163","13 Admin","index.php","","0","","Accessed page [index.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 14:53:31","122.111.2.163","13 Admin","stats_customers.php","","0","","Accessed page [stats_customers.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 14:54:07","122.111.2.163","13 Admin","logoff.php","","0","","Accessed page [logoff.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 14:54:08","122.111.2.163","0 ","login.php ","","0","","Accessed page [login.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:42:18","122.111.2.163","0 ","login.php ","camefrom=index.php","0","","Accessed page [login.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:42:29","122.111.2.163","0 ","login.php Admin","camefrom=index.php","0","","Accessed page [login.php] with action=doe129279b2997fb152bf9d15ec1055be3. Review page_parameters and postdata for details.","stdClass Object<br />
(<br />
    [action] => doe129279b2997fb152bf9d15ec1055be3<br />
    [admin_name] => Admin<br />
)<br />
"
"info","2018-05-09 15:42:31","122.111.2.163","13 Admin","index.php","","0","","Accessed page [index.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:42:33","122.111.2.163","0 ","login.php ","camefrom=index.php","0","","Accessed page [login.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:42:36","122.111.2.163","0 ","login.php Mali","camefrom=index.php","0","","Accessed page [login.php] with action=do638a00f3910948c01f1a89855bd7f76a. Review page_parameters and postdata for details.","stdClass Object<br />
(<br />
    [action] => do638a00f3910948c01f1a89855bd7f76a<br />
    [admin_name] => Mali<br />
)<br />
"
"info","2018-05-09 15:42:38","122.111.2.163","14 Mali","index.php","","0","","Accessed page [index.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:42:41","122.111.2.163","14 Mali","orders.php","oID=8525&origin=index","0","","Accessed page [orders.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:42:44","122.111.2.163","13 Admin","orders.php","","0","","Accessed page [orders.php]","Array<br />
(<br />
)<br />
"
"info","2018-05-09 15:43:15","122.111.2.163","14 Mali","orders.php","origin=index&page=1&oID=8526&action=edit","0","","Accessed page [orders.php] with action=edit. Review page_parameters and postdata for details.","Array<br />
(<br />
)<br />
"
