"severity","timestamp","ip_address","admin_user","page_accessed","parameters","flagged","attention","logmessage","postdata"
"info","2017-06-13 17:13:44","122.111.5.239","13 Admin","store_manager.php","","0","","",""
"info","2017-06-13 17:13:51","122.111.5.239","13 Admin","store_manager.php","action=optimize_db&","0","","",""
"info","2017-06-13 17:13:52","122.111.5.239","13 Admin","store_manager.php","","0","","",""
"info","2017-06-13 17:14:01","122.111.5.239","13 Admin","store_manager.php","action=optimize_db&","0","","",""
"info","2017-06-13 17:14:02","122.111.5.239","13 Admin","store_manager.php","","0","","",""
"info","2017-06-13 17:14:26","122.111.5.239","13 Admin","store_manager.php","","0","","",""
"info","2017-06-13 17:24:53","122.111.5.239","13 Admin","alt_nav.php","","0","","",""
"info","2017-06-13 17:24:57","122.111.5.239","13 Admin","configuration.php","gID=12&","0","","",""
"info","2017-06-13 17:28:17","122.111.5.239","13 Admin","logoff.php","","0","","",""
"info","2017-06-14 09:24:23","122.111.5.239","3 Kate","orders.php","oID=7429&origin=index&","0","","",""
"info","2017-06-14 09:24:38","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7428&action=edit&","0","","",""
"info","2017-06-14 09:26:40","122.111.5.239","3 Kate","orders.php","oID=7429&origin=index&","0","","",""
"info","2017-06-14 09:28:41","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7429&action=edit&","0","","",""
"info","2017-06-14 09:32:25","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7429&action=update_order&","0","","",""
"info","2017-06-14 09:32:48","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7429&action=edit&","0","","",""
"info","2017-06-14 10:15:41","122.111.5.239","3 Kate","orders.php","oID=7429&origin=index&","0","","",""
"info","2017-06-14 10:15:44","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7428&action=edit&","0","","",""
"info","2017-06-14 10:15:49","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7428&action=update_order&","0","","",""
"info","2017-06-14 10:16:11","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7428&action=edit&","0","","",""
"info","2017-06-14 10:45:27","122.111.5.239","3 Kate","orders.php","oID=7429&origin=index&","0","","",""
"info","2017-06-14 11:30:43","122.111.5.239","3 Kate","orders.php","securityToken=94e30049cbf7c65bc7080ee7692ab267&search=wilkgard&","0","","",""
"info","2017-06-14 11:30:57","122.111.5.239","3 Kate","orders.php","securityToken=94e30049cbf7c65bc7080ee7692ab267&search=wilkgard&page=1&oID=5222&action=edit&","0","","",""
"info","2017-06-14 12:41:26","122.111.5.239","3 Kate","orders.php","oID=7431&origin=index&","0","","",""
"info","2017-06-14 12:41:34","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7430&action=edit&","0","","",""
"info","2017-06-14 12:44:36","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7430&action=update_order&","0","","",""
"info","2017-06-14 12:44:58","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7430&action=edit&","0","","",""
"info","2017-06-14 12:47:48","122.111.5.239","3 Kate","orders.php","oID=7431&origin=index&","0","","",""
"info","2017-06-14 12:47:52","122.111.5.239","3 Kate","orders.php","origin=index&page=1&oID=7431&action=edit&","0","","",""
